,p_val,mean_eff_size,abs_eff_size,low_eff_size,upper_eff_size,band
"('Fp1', 'F3')",0.0,-0.5096324487841907,0.5096324487841907,-0.5899629050750094,-0.43567708224018353,theta
"('F4', 'C3')",0.0,-0.5071645695319269,0.5071645695319269,-0.5852141589434342,-0.4403684703376029,alpha2
"('F7', 'P4')",0.0,-0.50350682830379,0.50350682830379,-0.6314739853799411,-0.37226214540076813,alpha2
"('O1', 'O2')",0.0,0.5031955203421365,0.5031955203421365,0.3492055188001385,0.6712442346985676,alpha1
"('Fp2', 'C3')",0.0,-0.5029200909865215,0.5029200909865215,-0.6687927528505857,-0.36293831253626246,alpha1
"('Fp1', 'C3')",0.0,-0.5015924053263656,0.5015924053263656,-0.6246421974365144,-0.39139905675865994,alpha1
"('Fz', 'F4')",0.0,-0.4991595876886744,0.4991595876886744,-0.7232747133975094,-0.2670934322276254,alpha1
"('Fp1', 'Fz')",0.0,-0.4949202648594538,0.4949202648594538,-0.5671494817445476,-0.40300185859186044,delta
"('F3', 'C3')",0.0,-0.4925292176862663,0.4925292176862663,-0.5491297227834624,-0.42790207125999136,beta1
"('Fz', 'Cz')",0.0,-0.4834507714581881,0.4834507714581881,-0.6067937338219406,-0.31031137871346115,alpha2
"('F3', 'F4')",0.0,-0.4819440767053841,0.4819440767053841,-0.5561743692344605,-0.41934333790257916,alpha1
"('F4', 'T4')",0.0,-0.4806296241566933,0.4806296241566933,-0.6563587514784669,-0.3400189695957455,beta1
"('F7', 'Cz')",0.0,-0.4793121913748015,0.4793121913748015,-0.5690085906398392,-0.41109114190354246,alpha1
"('Fp1', 'F4')",0.0,-0.47888509145193137,0.47888509145193137,-0.5795694591815947,-0.3808077792472014,beta2
"('Fp1', 'F3')",0.0,-0.4788422733738752,0.4788422733738752,-0.5289809423189327,-0.42483457683143294,delta
"('O1', 'O2')",0.0,0.4784079332115838,0.4784079332115838,0.3574954468810053,0.5899955614270156,delta
"('O2', 'Pz')",0.0,0.47614069544977855,0.47614069544977855,0.3714825776286484,0.5514900488427552,delta
"('Fz', 'F4')",0.0,-0.4759519907360571,0.4759519907360571,-0.5977864915119104,-0.39750880537202005,beta2
"('Fp1', 'T3')",0.0,-0.47225073656490163,0.47225073656490163,-0.708929752842771,-0.3477849896100909,alpha2
"('F3', 'T3')",0.0,-0.4706505330210445,0.4706505330210445,-0.6029760988253278,-0.40023042881525306,beta1
"('Fp2', 'F8')",0.0,-0.47003766944705794,0.47003766944705794,-0.5575997979786053,-0.3553952798605867,beta2
"('T6', 'Pz')",0.0,0.4692071150715189,0.4692071150715189,0.3768035472732113,0.5528980029011645,alpha1
"('T3', 'T6')",0.0,-0.4691749778785911,0.4691749778785911,-0.565250618704115,-0.3942536335324782,alpha2
