,p_vals_full,mean_eff_size,abs_eff_size,p_vals_sz_20,eff_size_sz_20,freq_repr_sz_20,p_vals_sz_25,eff_size_sz_25,freq_repr_sz_25,p_vals_sz_30,eff_size_sz_30,freq_repr_sz_30,p_vals_sz_40,eff_size_sz_40,freq_repr_sz_40,p_vals_sz_50,eff_size_sz_50,freq_repr_sz_50,p_vals_sz_70,eff_size_sz_70,freq_repr_sz_70,band
"('Fp1', 'F4')",4.4710830078079485e-20,-0.8576091575378308,0.8576091575378308,0.4085294985440931,-1.0156981350474592,0.166,0.22445457524183296,-0.9704112524408517,0.386,0.09416190281058198,-0.9515634110794056,0.61,0.01670991758185903,-0.9270022605079571,0.926,0.0018814384586763964,-0.9190799254548233,0.994,1.2072395164583075e-05,-0.9075589175050657,1.0,alpha2
"('Fp2', 'Fz')",2.5799949359141698e-20,-0.8441858035268028,0.8441858035268028,0.37282975445597033,-1.0652863847969962,0.204,0.18626041273517158,-1.0114045069019655,0.424,0.07584452357829467,-0.9830190196785171,0.692,0.01249538786056907,-0.9569026665009704,0.944,0.0010261574150013145,-0.9521114745146304,0.998,1.1229811551554539e-05,-0.9134097670652507,1.0,alpha2
"('Fp1', 'F3')",1.4547651603280283e-17,-0.8034891144503071,0.8034891144503071,0.48496412949075546,-0.9000336793794526,0.048,0.22952823823126683,-0.8847835381872992,0.216,0.09637859144238409,-0.8520642670918226,0.508,0.010635706362116876,-0.8424774365289424,0.964,0.0014782448439476876,-0.827575267185071,0.998,1.3311457680240715e-05,-0.8247576552362597,1.0,beta1
"('F7', 'O2')",8.484831487458778e-17,-0.7962683435924267,0.7962683435924267,0.5357763960042928,-0.881147735124898,0.078,0.3288667209161737,-0.8360813164199868,0.238,0.15760751466417214,-0.8366056603921602,0.472,0.03401572136889464,-0.8161499219541549,0.822,0.007916746719117908,-0.797147856581362,0.972,0.00012867897736753238,-0.7904822616976257,1.0,alpha2
"('F7', 'T6')",1.0887652945446342e-16,-0.7823511626283921,0.7823511626283921,0.5255172467094017,-0.9043914086354877,0.082,0.3180666180316869,-0.8487188852851174,0.214,0.15503431917640761,-0.8483214649095867,0.436,0.03418434754812865,-0.8212683515321669,0.832,0.0068684450157107686,-0.8148972287758064,0.974,0.00021992977096055365,-0.7935201895782849,1.0,alpha2
"('Fp2', 'F7')",4.025399571579126e-15,-0.7625879335780414,0.7625879335780414,0.6043279695241043,-0.8129298130826047,0.064,0.3923534755643578,-0.7963718981770493,0.196,0.21682352560743431,-0.7857029316572925,0.4,0.053642138708397964,-0.7743103302785159,0.744,0.013527739234751274,-0.7642164685388031,0.928,0.0006999396832565338,-0.7568309224821904,0.998,alpha2
"('Fp2', 'F4')",5.409467153843421e-16,-0.7602110029296062,0.7602110029296062,0.5628884558649525,-0.832264732117343,0.046,0.31374899876359286,-0.8390341947807936,0.222,0.17648808736285218,-0.798710583527823,0.406,0.038072165085199325,-0.7902398541083729,0.814,0.007645446909059693,-0.7763044745160411,0.97,0.00024127230906157416,-0.7654598709021114,1.0,beta1
"('Fp1', 'O2')",2.2144646508085142e-15,-0.7471581350024529,0.7471581350024529,0.597741532314002,-0.8423226197140099,0.062,0.3740864452974233,-0.810142470168674,0.168,0.21634817413263785,-0.7947446606383219,0.386,0.050301244253806124,-0.7832880664312379,0.768,0.010180670328971918,-0.776699139946202,0.95,0.00039564424639731375,-0.7567581445051044,1.0,alpha2
"('C3', 'Cz')",9.893980183178925e-17,-0.7461700323621329,0.7461700323621329,0.5284583213107921,-0.89459427894322,0.076,0.32418030799011743,-0.8443327284440449,0.242,0.14851551497459853,-0.8452364397126003,0.48,0.02770645231600238,-0.830957498455235,0.86,0.005197900542425305,-0.8210533007590226,0.976,0.00017781719650186177,-0.8009657302540372,1.0,alpha2
"('Fp1', 'Fz')",2.2142243016695743e-15,-0.7377843103335188,0.7377843103335188,0.5931024492024045,-0.81941343863553,0.028,0.33239356221046046,-0.8204048901642278,0.172,0.1787586658362402,-0.7793985796874991,0.382,0.03507497406298421,-0.7708022062645054,0.816,0.005847328051945448,-0.7655069737662701,0.974,0.00013791093651727891,-0.7561749100713789,1.0,beta1
"('T3', 'Cz')",8.355988027766007e-15,-0.7353201184943333,0.7353201184943333,0.6044388492612932,-0.8044031915212941,0.02,0.39645100685112095,-0.7644213276221028,0.126,0.20373354637795796,-0.7594771054366417,0.328,0.042545790829838816,-0.7551584820088504,0.772,0.008573412801446427,-0.7474739984328945,0.976,0.0002915100984932534,-0.7387898486846839,1.0,alpha2
"('T6', 'O2')",3.798451541487296e-15,-0.7339043081585787,0.7339043081585787,0.5879696692237236,-0.8329650771014254,0.044,0.35947600220337406,-0.8033791218930226,0.164,0.22471297900575898,-0.7874459623415472,0.388,0.047110106083573806,-0.7835333348648116,0.774,0.012885849537301451,-0.7566767308393767,0.944,0.0004372570628422466,-0.7529905239159598,1.0,alpha2
