,p_val,mean_eff_size,abs_eff_size,low_eff_size,upper_eff_size,band
"('Fp2', 'F3')",2.2234277541763517e-06,-0.4378404256526962,0.4378404256526962,-0.5505367598523221,-0.3174324991227674,theta
"('F7', 'T3')",6.51260066791117e-07,-0.43696632115680345,0.43696632115680345,-0.5270927715674044,-0.3715265997111544,beta2
"('O1', 'Cz')",1.5940296523706384e-06,0.43687316167317114,0.43687316167317114,0.33736623785670783,0.5274207715607895,alpha1
"('C3', 'Pz')",2.798123500409459e-08,-0.4337996254235317,0.4337996254235317,-0.5329059741255804,-0.33338452136298025,alpha2
"('F4', 'T3')",1.963442791822042e-07,-0.4334180396187149,0.4334180396187149,-0.5482989938553636,-0.2888348408658018,alpha2
"('Fz', 'Cz')",1.2394231796150654e-07,-0.43281099029770065,0.43281099029770065,-0.5647344374763803,-0.2832773679445034,alpha2
"('Fz', 'C3')",4.5859600235864465e-07,-0.4326874750355164,0.4326874750355164,-0.5039774860078569,-0.35564676780261606,alpha2
"('F4', 'C4')",1.712744036613645e-07,-0.43053610582171353,0.43053610582171353,-0.5342823350113722,-0.3572598715826765,beta1
"('F7', 'C4')",2.6988365281006826e-07,-0.4277963236943566,0.4277963236943566,-0.5230765615765448,-0.29683692631878145,alpha2
"('Fp1', 'F7')",3.697320682989823e-08,-0.4270222441653087,0.4270222441653087,-0.4949876728377063,-0.3385803356538577,gamma
"('F8', 'C3')",9.16736511944212e-07,0.4268441672235186,0.4268441672235186,0.2890110145718431,0.5565435959775731,gamma
"('Fz', 'F8')",1.5940296523706384e-06,-0.4262028383452689,0.4262028383452689,-0.5500477629264791,-0.3288360779650184,beta1
"('O2', 'C3')",6.86128706811385e-07,0.4257293379516104,0.4257293379516104,0.30801523641009554,0.5081201268397394,beta2
"('Fp2', 'F4')",1.4618742229424042e-06,-0.42491688156646834,0.42491688156646834,-0.5407995175357232,-0.3185250012372473,delta
"('Fz', 'T4')",4.2140612533792055e-07,-0.4231619442421527,0.4231619442421527,-0.4906807118237372,-0.3268038220726159,alpha2
"('Fp1', 'C3')",6.986787812607259e-07,-0.4225793956149345,0.4225793956149345,-0.5439587574425867,-0.20747368764864862,alpha2
"('F7', 'T3')",2.2586937677865197e-06,-0.4223170341882062,0.4223170341882062,-0.5035984444126023,-0.3188205363712301,alpha2
"('Fp1', 'C3')",1.787204294042666e-07,-0.42217665711985247,0.42217665711985247,-0.4990887889840632,-0.33980961110362223,theta
"('T3', 'T6')",3.455481128277461e-08,-0.4212084473288565,0.4212084473288565,-0.5540465400829128,-0.2859737134289023,alpha2
"('F4', 'Pz')",3.671441300695986e-06,-0.42089660707024174,0.42089660707024174,-0.5690679937871593,-0.3101505757978297,alpha2
"('F4', 'T4')",6.657657723015296e-08,-0.42045365083725994,0.42045365083725994,-0.4828463466393276,-0.34802064322683074,beta1
"('T6', 'P3')",3.283317325661386e-06,0.42014259044962365,0.42014259044962365,0.24170519621558317,0.5676471058804595,alpha1
"('F7', 'C3')",4.3653715176724864e-07,-0.41917653154181317,0.41917653154181317,-0.5231984963472079,-0.2733960882954349,beta1
"('Fz', 'Cz')",2.443028233005067e-07,-0.41786921396867943,0.41786921396867943,-0.5414017100567874,-0.24964960804933578,beta1
"('F3', 'T3')",1.2411754936515526e-06,-0.41675091085714183,0.41675091085714183,-0.5725579638431244,-0.2511974712294897,beta2
"('F7', 'F3')",5.28764045114674e-07,-0.41611632894646206,0.41611632894646206,-0.5287494904948864,-0.3031764420345676,theta
"('F4', 'F8')",8.984939167587303e-07,-0.4152543335182123,0.4152543335182123,-0.6174605024323258,-0.3284065579452732,gamma
"('Fp2', 'C4')",2.019583977961134e-05,-0.4150644662651886,0.4150644662651886,-0.544271464269192,-0.28622411225799016,alpha1
"('P3', 'Pz')",3.822792995750569e-07,-0.41470789022532034,0.41470789022532034,-0.5462206448864613,-0.2730581322793022,alpha2
"('Fp1', 'F3')",2.2053728688278006e-06,-0.4125627891847971,0.4125627891847971,-0.5961517863561654,-0.31405240580456795,gamma
"('Fp2', 'Cz')",3.973600871446386e-06,-0.4117161681866861,0.4117161681866861,-0.5319984219403497,-0.2708440011981106,alpha1
"('F3', 'C3')",7.291546332748359e-07,-0.40971501460040444,0.40971501460040444,-0.4977651937795932,-0.3278876163886665,delta
"('F4', 'C4')",2.834810654034013e-06,-0.4086676409625678,0.4086676409625678,-0.515809195581382,-0.30903207905913554,alpha2
"('O2', 'P3')",2.0296243464777643e-06,0.40761233057220025,0.40761233057220025,0.20179616278759122,0.5396393979403935,beta2
"('Fp1', 'C4')",1.5027570093244613e-06,-0.4069281085449801,0.4069281085449801,-0.557131471006611,-0.2851598001793764,beta1
"('F4', 'C3')",4.802414773530155e-07,-0.40643015173473235,0.40643015173473235,-0.4797897066869623,-0.33449363162805895,beta1
"('Fp2', 'F7')",1.0727556673229348e-06,-0.4050768191268377,0.4050768191268377,-0.4894439717221001,-0.28063264405050353,alpha1
"('F8', 'T4')",4.826594531004138e-06,-0.4046500196729525,0.4046500196729525,-0.5089093059269727,-0.2816052233995037,beta1
"('Fp2', 'Fz')",7.501894482983086e-06,-0.4019640506639737,0.4019640506639737,-0.5645194402657837,-0.2916394502803539,theta
"('T3', 'P3')",6.126033682788459e-06,-0.40130629668268814,0.40130629668268814,-0.46491834562847195,-0.31656000318075095,alpha2
"('F3', 'Cz')",2.3573297360343156e-06,-0.40096476714936535,0.40096476714936535,-0.47404349138923174,-0.32965260980880745,beta2
"('Fp1', 'T3')",1.0395664499619642e-06,-0.4004548163011671,0.4004548163011671,-0.4902356125762985,-0.2932724231307523,theta
"('Fz', 'F8')",9.39960063609178e-07,-0.4001745984250432,0.4001745984250432,-0.5679308615036602,-0.32352431907576834,alpha1
"('T6', 'O2')",1.216481354538257e-07,-0.39942709341807786,0.39942709341807786,-0.5146784758482057,-0.29242047888720735,beta2
"('Fp1', 'Cz')",1.088677321110768e-07,-0.39848927376992127,0.39848927376992127,-0.4779613806627851,-0.32400212459969785,alpha1
"('F4', 'O2')",3.028864844373053e-06,-0.3976097883358979,0.3976097883358979,-0.5061674564601893,-0.3167045618574489,alpha2
"('T4', 'Cz')",3.0232488388026436e-05,-0.3961713145637227,0.3961713145637227,-0.5184483099181881,-0.3079163045255995,beta1
"('F4', 'T4')",3.962998869864108e-07,-0.39578408561378653,0.39578408561378653,-0.47182962458925826,-0.22391628631936236,alpha2
"('Fp1', 'T3')",1.2492334319090826e-06,-0.3931631983248575,0.3931631983248575,-0.5247513120375055,-0.2804301525883707,alpha1
"('Fp2', 'F4')",4.029811687729215e-06,-0.391173240723805,0.391173240723805,-0.5539264811471198,-0.27789339501484994,theta
"('Fz', 'F4')",8.407655229002204e-06,-0.39073637534743505,0.39073637534743505,-0.4689118420663666,-0.33490999003090693,theta
"('Fp1', 'T3')",6.953825138531283e-06,-0.3898384021027816,0.3898384021027816,-0.5797246310032463,-0.2853832042335674,delta
"('F4', 'T4')",1.3488309194081563e-06,-0.3896327154542074,0.3896327154542074,-0.46728174914409437,-0.23059521732629518,gamma
"('Fp2', 'F8')",2.382978245571599e-06,-0.38960165936321467,0.38960165936321467,-0.5051228571493881,-0.2471437079853789,beta1
"('O1', 'O2')",8.859394017526756e-07,0.3895997569336668,0.3895997569336668,0.2986601923344007,0.5095775442641111,beta2
"('T4', 'C4')",1.6267450054692411e-06,-0.389306792883921,0.389306792883921,-0.4853972813457867,-0.2558447467153139,alpha1
"('O2', 'C4')",4.3995432675675895e-06,0.38901055177613547,0.38901055177613547,0.30142917662099716,0.5616003395334701,alpha1
"('Fz', 'C4')",1.2927592446956966e-05,-0.38818363284133506,0.38818363284133506,-0.5087054552640005,-0.28990083572650116,beta1
"('F7', 'F3')",8.096982341345245e-06,-0.38672818874425335,0.38672818874425335,-0.5074577712150012,-0.3143126788658848,gamma
"('T4', 'O2')",6.595806044420091e-05,-0.3853791021620063,0.3853791021620063,-0.582787960420218,-0.275671039344501,beta2
"('T5', 'O1')",2.0439745913237636e-06,-0.3849436361817302,0.3849436361817302,-0.517158537600422,-0.24133324452774163,gamma
"('F3', 'Fz')",2.2234277541763517e-06,-0.38421278315307994,0.38421278315307994,-0.5088256536568373,-0.2642786566291663,theta
"('T6', 'O1')",1.3130000101144104e-05,0.38408699750862973,0.38408699750862973,0.20634912530312843,0.5541986017930532,alpha1
"('F4', 'Cz')",6.257045607467739e-06,-0.3832574726262949,0.3832574726262949,-0.532504703802776,-0.2898682112615853,alpha1
"('Fp2', 'C4')",1.3788842211067706e-05,-0.38324443729539964,0.38324443729539964,-0.469869945696447,-0.29743899476005375,theta
