,p_vals_full,mean_eff_size,abs_eff_size,p_vals_sz_20,eff_size_sz_20,freq_repr_sz_20,p_vals_sz_25,eff_size_sz_25,freq_repr_sz_25,p_vals_sz_30,eff_size_sz_30,freq_repr_sz_30,p_vals_sz_40,eff_size_sz_40,freq_repr_sz_40,p_vals_sz_50,eff_size_sz_50,freq_repr_sz_50,p_vals_sz_70,eff_size_sz_70,freq_repr_sz_70,band
"('Fp1', 'F4')",6.343601087145312e-20,-0.8632941342326339,0.8632941342326339,0.6222902434520242,-1.0100079681507628,0.144,0.4121467597880881,-1.0010442272664974,0.34,0.26174642841672235,-0.9528988129943673,0.498,0.05359762046631225,-0.9388498857604174,0.834,0.008094809006720355,-0.9094493091669551,0.966,0.00010613547973180154,-0.8949458409460462,1.0,alpha2
"('F7', 'F4')",2.1159784964462323e-18,-0.8491910972914452,0.8491910972914452,0.6857073050620464,-0.9519223742037103,0.114,0.513341730242786,-0.9304716773423993,0.248,0.3477282105586738,-0.8916989836352907,0.398,0.11037965090362366,-0.8908710436195622,0.736,0.022877457081621144,-0.8761521827630238,0.93,0.00018171919419160553,-0.8513384626969449,1.0,alpha2
"('F7', 'T6')",2.38240201973737e-16,-0.8058524093308492,0.8058524093308492,0.7532950944425664,-0.8902894121688073,0.09,0.5654217232782123,-0.8790334692699324,0.192,0.4582564423134124,-0.8378082462458705,0.302,0.18420263185504043,-0.8209049088245214,0.592,0.05414265562378728,-0.8139255506240132,0.844,0.002180223690968883,-0.7953154351392614,0.994,alpha2
"('Fp1', 'F3')",2.4425111511032788e-17,-0.8012809261701126,0.8012809261701126,0.8088297515287594,-0.8909100139040613,0.022,0.586135032650685,-0.8671790442547626,0.104,0.34579419084497887,-0.8504032404465101,0.276,0.052491565446106954,-0.8468331325110887,0.776,0.00803942489669149,-0.8219978487657608,0.976,6.020361933200875e-05,-0.8204571449649396,1.0,beta1
"('Fp1', 'O2')",5.965494785423261e-15,-0.796540318286471,0.796540318286471,0.7949949692497684,-0.8591342193530449,0.066,0.6262838736804306,-0.8362872238511802,0.164,0.5184999897836337,-0.8059053800406532,0.26,0.24624230429067148,-0.7752181040943512,0.512,0.0807860038111967,-0.7753637762712449,0.778,0.008112776977421762,-0.7453162208456663,0.974,alpha2
"('F7', 'Cz')",2.7667210811618022e-14,-0.7677584266426745,0.7677584266426745,0.7909741792828939,-0.8272192416856309,0.07,0.6508414095856647,-0.8261555446643986,0.154,0.5296997047953024,-0.8044598541938333,0.254,0.27577633834733545,-0.7888181352363585,0.514,0.13311662541920632,-0.7639362666755064,0.712,0.013476191036671555,-0.7467522625240036,0.954,alpha2
"('Fp1', 'Fz')",5.685633480153307e-15,-0.752667382262902,0.752667382262902,0.8603707374503925,-0.8230769901049526,0.02,0.7129304569250746,-0.799512989816738,0.08,0.5026626277679266,-0.7912462569241121,0.186,0.18896691947029437,-0.7723613795282496,0.506,0.04943657153887507,-0.7637647388573924,0.822,0.0010947597909056503,-0.7518011827739459,0.998,beta1
"('Fp2', 'F7')",1.2865568385079795e-14,-0.7507278877843664,0.7507278877843664,0.8210315013971115,-0.822927030434898,0.054,0.6642625742177111,-0.8069603381257768,0.136,0.5325477673155093,-0.7857018082725099,0.214,0.2442093240096867,-0.7855996031785707,0.506,0.09844415986497754,-0.7639838221531488,0.762,0.0034885784695686513,-0.7422637774299149,0.984,alpha2
"('Fz', 'F8')",9.417601539066974e-15,-0.7490597646812215,0.7490597646812215,0.7687987738777775,-0.8737002728619675,0.074,0.6637747657161157,-0.8240092807382123,0.136,0.5221751975351672,-0.8031594674908439,0.238,0.22775854949989147,-0.8002478556789464,0.532,0.09497017148387352,-0.7704508718323962,0.738,0.004289177759624023,-0.7550514236145159,0.98,alpha2
"('Fp2', 'F3')",6.4716063811056e-17,-0.7471957946751064,0.7471957946751064,0.7548833235255021,-0.92172984336017,0.08,0.5269601583149744,-0.921920875334281,0.21,0.42065461950113303,-0.867611801707726,0.302,0.09485088946730483,-0.8701490003502889,0.746,0.022151507753758466,-0.8405724423203221,0.924,0.0005781146633740384,-0.8223248564655808,0.998,alpha2
