,p_vals_full,mean_eff_size,abs_eff_size,p_vals_sz_20,eff_size_sz_20,freq_repr_sz_20,p_vals_sz_25,eff_size_sz_25,freq_repr_sz_25,p_vals_sz_30,eff_size_sz_30,freq_repr_sz_30,p_vals_sz_40,eff_size_sz_40,freq_repr_sz_40,p_vals_sz_50,eff_size_sz_50,freq_repr_sz_50,p_vals_sz_70,eff_size_sz_70,freq_repr_sz_70,band
"('Fp2', 'F4')",0.0,-0.8355894237791777,0.8355894237791777,0.06676068,-1.0439854907869828,0.69,0.02659008000000002,-1.02135223142244,0.838,0.013578520000000009,-0.9635817475843793,0.934,0.0014722000000000008,-0.9461815384755536,0.996,0.0002593200000000002,-0.9284662297501757,1.0,1.2400000000000002e-06,-0.8982981694941216,1.0,alpha2
"('F7', 'F4')",0.0,-0.818088315531651,0.818088315531651,0.08168580000000003,-0.9566516507957848,0.626,0.03768807999999996,-0.9362059676756089,0.81,0.024205719999999986,-0.8995903735008555,0.886,0.004988160000000002,-0.8933771796248231,0.976,0.0005941600000000003,-0.8606331260779533,1.0,4.400000000000003e-06,-0.8466245589400547,1.0,alpha2
"('F7', 'T6')",0.0,-0.7970759773059578,0.7970759773059578,0.13689532000000004,-0.8732094706466704,0.512,0.058723000000000046,-0.8798359983005238,0.742,0.0365948,-0.8361700158179376,0.796,0.008162120000000002,-0.8291444359768083,0.96,0.00204876,-0.8063547210856102,0.992,2.5799999999999966e-05,-0.7904798062785509,1.0,alpha2
"('C3', 'Cz')",0.0,-0.7963723984331055,0.7963723984331055,0.10139520000000006,-0.8889608696974796,0.556,0.05786428000000001,-0.8582487550496865,0.732,0.02148551999999999,-0.848335668455581,0.88,0.00506172,-0.8206271303401116,0.976,0.00064904,-0.8108583192017074,0.998,1.0520000000000004e-05,-0.8059904059578638,1.0,alpha2
"('Fp1', 'F3')",0.0,-0.7896243838525261,0.7896243838525261,0.06181703999999996,-0.8969216913909774,0.61,0.023580559999999987,-0.8853563668718517,0.866,0.00919060000000001,-0.8547350531637802,0.968,0.0010374800000000003,-0.8426947406433369,1.0,0.00013527999999999988,-0.8322851413182242,1.0,1.3600000000000003e-06,-0.8191576224250371,1.0,beta1
"('Fp2', 'F3')",0.0,-0.7836968024973117,0.7836968024973117,0.08176075999999993,-0.9266411887651274,0.594,0.03490339999999997,-0.9229091407681931,0.816,0.01653684,-0.8898382875818298,0.91,0.002809040000000001,-0.8738507708125341,0.992,0.00034156,-0.8465885510735255,1.0,4.840000000000002e-06,-0.8211975451519106,1.0,alpha2
"('Fp2', 'F4')",0.0,-0.7490772332676647,0.7490772332676647,0.1324673600000001,-0.8236909026735811,0.474,0.05674359999999997,-0.836021853142449,0.686,0.03544015999999995,-0.7989433388471998,0.81,0.0070087600000000045,-0.7815501475635531,0.972,0.0015164800000000017,-0.7822636378617435,0.996,1.4360000000000012e-05,-0.76490730894805,1.0,beta1
"('Fp1', 'O2')",0.0,-0.7434034336761763,0.7434034336761763,0.14196404000000004,-0.8565828905764065,0.466,0.09029948,-0.8220309018496549,0.64,0.05171732000000002,-0.8041789923148247,0.75,0.010479320000000004,-0.8031360201990383,0.94,0.002738080000000001,-0.7836299384912789,0.99,0.00015847999999999996,-0.7567184613923656,1.0,alpha2
"('F7', 'O2')",0.0,-0.7380618609271666,0.7380618609271666,0.12062016000000018,-0.8843909553828675,0.516,0.05623739999999998,-0.8780542167838852,0.716,0.039281079999999996,-0.8241641549317897,0.8,0.006579799999999999,-0.8283980641583001,0.966,0.0018333200000000011,-0.8020951008344587,0.992,1.9999999999999978e-05,-0.7877666882736235,1.0,alpha2
"('Fz', 'F8')",0.0,-0.737204171058451,0.737204171058451,0.14102412000000009,-0.8643257089881348,0.472,0.07843503999999997,-0.8381508189355328,0.648,0.05098671999999991,-0.8104511707339739,0.742,0.01025536,-0.807132323455391,0.948,0.002724999999999998,-0.7820549574718103,0.988,8.17999999999999e-05,-0.7576269554481871,1.0,alpha2
"('F4', 'F8')",0.0,-0.7307128300663377,0.7307128300663377,0.15467560000000005,-0.9445304510758167,0.54,0.09049128000000005,-0.9029887317705945,0.654,0.059753959999999974,-0.8716907589772545,0.744,0.01700088000000001,-0.8392656243611512,0.918,0.007442800000000001,-0.8107641118195522,0.968,0.00028332000000000015,-0.7872359985430699,1.0,alpha2
"('F7', 'Cz')",0.0,-0.7234674268765242,0.7234674268765242,0.16086175999999994,-0.8718202869911591,0.49,0.09840075999999998,-0.8494548590183558,0.67,0.06865355999999993,-0.79787129906353,0.716,0.023933360000000008,-0.7742720166309356,0.888,0.00597652,-0.7544501208133703,0.966,0.0001882000000000001,-0.7434268402459013,1.0,alpha2
"('Fp1', 'Fz')",0.0,-0.7142433741434129,0.7142433741434129,0.11585295999999994,-0.8246377731849859,0.452,0.05472319999999994,-0.8102115970731875,0.694,0.028913280000000013,-0.7971677467755618,0.838,0.00665899999999999,-0.7705750005909536,0.968,0.0008870400000000009,-0.7630012663493236,1.0,1.907999999999999e-05,-0.7550817618510347,1.0,beta1
"('T3', 'Cz')",0.0,-0.7087117456825627,0.7087117456825627,0.13755140000000002,-0.7921160408430331,0.424,0.07191211999999997,-0.7864803635488231,0.64,0.03513799999999998,-0.7699685032731028,0.804,0.010267039999999996,-0.7339470675143667,0.946,0.0015980800000000022,-0.7470865548246708,0.996,4.443999999999997e-05,-0.7388432905373404,1.0,alpha2
"('Fp2', 'Fz')",0.0,-0.7085091772655605,0.7085091772655605,0.16020596,-0.7679816563736839,0.35,0.08192007999999994,-0.7660381407986099,0.564,0.053436159999999976,-0.7419447675863453,0.736,0.012744840000000004,-0.7231897197018806,0.926,0.00276856,-0.7256659708678088,0.99,8.85999999999999e-05,-0.7153299443707262,1.0,beta1
"('Fp1', 'F3')",0.0,-0.703759319948891,0.703759319948891,0.09953356000000013,-0.815444514979478,0.438,0.04964807999999998,-0.792684950333585,0.67,0.026814360000000013,-0.7719610753139906,0.82,0.0049962,-0.75237797363594,0.992,0.0009975999999999995,-0.7395730556148432,1.0,2.8439999999999965e-05,-0.7130484860528168,1.0,alpha1
