,p_vals_full,mean_eff_size,abs_eff_size,p_vals_sz_20,eff_size_sz_20,freq_repr_sz_20,p_vals_sz_25,eff_size_sz_25,freq_repr_sz_25,p_vals_sz_30,eff_size_sz_30,freq_repr_sz_30,p_vals_sz_40,eff_size_sz_40,freq_repr_sz_40,p_vals_sz_50,eff_size_sz_50,freq_repr_sz_50,p_vals_sz_70,eff_size_sz_70,freq_repr_sz_70,band
"('Fp1', 'F3')",1.897881108646949e-18,-0.8167823074542445,0.8167823074542445,0.08165283218507642,-0.8897236727627476,0.4,0.03199089994840057,-0.8770387506460565,0.804,0.013985790402107973,-0.8502595850221969,0.938,0.001729617340742799,-0.8347523093575261,1.0,0.00023135777466400182,-0.8243186840719037,1.0,1.7946080738533094e-06,-0.823167020540836,1.0,beta1
"('F7', 'F4')",1.7796699411510262e-19,-0.8068068955398348,0.8068068955398348,0.08954031977444978,-0.9573743958897277,0.512,0.044156190212849625,-0.9080527161137364,0.764,0.023985777354864613,-0.8928768430244085,0.884,0.006208383903104028,-0.8648363627162123,0.988,0.0005439913948732102,-0.8734648476807821,1.0,8.385745880453965e-06,-0.8589260028949787,1.0,alpha2
"('C3', 'Cz')",1.2907649008276007e-17,-0.7939640236566253,0.7939640236566253,0.11420615746134738,-0.8477378067017438,0.37,0.04575960253841403,-0.868466015231506,0.698,0.02382563293149327,-0.837626568051053,0.862,0.00514975898333407,-0.8199854605798045,0.982,0.000660259667427125,-0.8063051718192612,1.0,1.0538360892936257e-05,-0.8028882806357897,1.0,alpha2
"('Fp2', 'F3')",4.673330621490953e-18,-0.7939552351017957,0.7939552351017957,0.09171638984887316,-0.9328319640278369,0.456,0.03831738689896588,-0.918396952571614,0.758,0.019106247111225716,-0.883123246764883,0.886,0.0031898329497341738,-0.8542133644749408,0.996,0.0005132853855105888,-0.8296870734280772,1.0,9.348204378515154e-06,-0.8292637517652497,1.0,alpha2
"('F7', 'O2')",1.1069278966283306e-17,-0.7904816282299216,0.7904816282299216,0.11439477205959747,-0.8718370529580176,0.394,0.05107535819009376,-0.8484912690338087,0.684,0.028369369573806914,-0.8324942043186282,0.844,0.006074607944338667,-0.7950045326579922,0.98,0.0007721052629763458,-0.796240607553348,1.0,1.6616701386141113e-05,-0.7916467123376375,1.0,alpha2
"('Fp2', 'F4')",7.05717032487268e-17,-0.7846485990240082,0.7846485990240082,0.11750130665013224,-0.8240995901760357,0.36,0.05364185547701131,-0.8238948994833366,0.698,0.03167521963181258,-0.7980287764886527,0.822,0.005706534185066021,-0.7969294526445992,0.988,0.0008952260778113087,-0.7697596616135216,0.998,1.6214741894434935e-05,-0.7769698065786386,1.0,beta1
"('F4', 'F8')",2.252333852490179e-16,-0.7839712457306779,0.7839712457306779,0.139636016281914,-0.9298532179172394,0.47,0.0689826042780252,-0.9022108527043474,0.628,0.04597570413915721,-0.8469509760250585,0.742,0.010126117841561083,-0.8324810173573671,0.952,0.0028243151911661706,-0.8091481285017946,0.986,6.851735060487698e-05,-0.7871209926773984,1.0,alpha2
"('T6', 'O2')",4.955445469338911e-16,-0.7568273450448016,0.7568273450448016,0.12284046909773186,-0.8583673172542896,0.39,0.06018871029596873,-0.8272898243054735,0.646,0.03305194894913946,-0.7939731378158813,0.79,0.0070025558342663215,-0.7819227731377767,0.966,0.0016043360614295553,-0.7633526307012225,0.996,5.447259637254983e-05,-0.748053434720533,1.0,alpha2
"('Fp1', 'Fz')",2.888668622981116e-16,-0.7510387036424158,0.7510387036424158,0.11373711575837639,-0.8225820849413699,0.354,0.051524156084020896,-0.8071459960113316,0.69,0.027532214611879692,-0.7751537574746388,0.842,0.004483615452611222,-0.7738518844563433,0.994,0.0007461968035157438,-0.7622477609000765,1.0,1.5579211181348214e-05,-0.763393980431521,1.0,beta1
"('F7', 'T6')",1.4203990723841373e-17,-0.7497190218090388,0.7497190218090388,0.11141234010265123,-0.8758537068679674,0.398,0.04857623787715905,-0.8826883816326655,0.708,0.027117023849475032,-0.835731334032053,0.85,0.005879148846458488,-0.8065421727027214,0.978,0.0008909351593151295,-0.8023895875270535,1.0,1.7509336406088215e-05,-0.7978134773188187,1.0,alpha2
