,p_val,mean_eff_size,abs_eff_size,low_eff_size,upper_eff_size,band
"('F4', 'O1')",6.412287069560445e-06,-0.484144979576875,0.484144979576875,-0.5345183934123927,-0.42930350074798923,alpha2
"('F3', 'C4')",9.888868304129921e-07,-0.4832425249614002,0.4832425249614002,-0.5621559115201871,-0.3455873554700253,alpha2
"('O1', 'O2')",1.8060140582970434e-06,0.4799367215330723,0.4799367215330723,0.3573428105640559,0.5855677888046587,delta
"('Fp1', 'Fz')",4.81970142218967e-06,-0.47873135473576234,0.47873135473576234,-0.5876272306802958,-0.4044086100185027,theta
"('F4', 'T4')",6.0237582821934444e-05,-0.4758960535976602,0.4758960535976602,-0.6330141570159573,-0.27212506262655445,alpha2
"('F4', 'T5')",1.1863290481922073e-05,-0.47469561105983316,0.47469561105983316,-0.5667111262204422,-0.37938324588616046,alpha2
"('F4', 'C4')",2.3585302056084943e-05,-0.47399674899115674,0.47399674899115674,-0.5746646965135179,-0.35691875790370003,beta1
"('Fp1', 'F4')",2.4827074597453663e-05,-0.4734371521802311,0.4734371521802311,-0.603682963379444,-0.3418786462445779,theta
"('Fz', 'Cz')",3.566821220187398e-05,-0.4728897074246413,0.4728897074246413,-0.5909850433962931,-0.38654879005151577,beta1
"('Fp1', 'C3')",2.2111861282188074e-06,-0.47183872519558684,0.47183872519558684,-0.581778028646514,-0.36032987814780504,delta
"('T6', 'Pz')",5.000705734399406e-07,0.4715700118391191,0.4715700118391191,0.3812349259219547,0.523439338499358,alpha1
"('O2', 'Cz')",0.00013721260581789948,0.470190787776925,0.470190787776925,0.3680495658394557,0.5891437634649654,beta2
"('C3', 'Pz')",3.133898320458594e-06,-0.4700363684356059,0.4700363684356059,-0.5974870145490164,-0.36773496843616327,alpha2
"('Fz', 'O2')",4.385032050481297e-06,-0.4699546089218911,0.4699546089218911,-0.6233274494507691,-0.30602722751047273,alpha2
"('O2', 'Cz')",2.072023747592548e-05,0.46883545705710805,0.46883545705710805,0.29213390299340236,0.634628677574357,alpha1
"('T6', 'O2')",1.5692609473543514e-05,-0.4682023642468878,0.4682023642468878,-0.5818044217998097,-0.38299588529846856,beta2
"('Fp1', 'Fp2')",7.4844011823139e-06,-0.46789792632103566,0.46789792632103566,-0.5052662614076009,-0.40838123503073565,beta2
"('F7', 'C4')",3.967289696308003e-05,-0.4677332874472869,0.4677332874472869,-0.5720450517407483,-0.36291422255769584,alpha2
"('F4', 'T4')",1.1617029439809393e-05,-0.4658214118554492,0.4658214118554492,-0.6264615754041063,-0.33135770647682683,beta2
"('Fp1', 'C3')",7.665080383462982e-05,-0.4644839819217449,0.4644839819217449,-0.5030838536417402,-0.3818338460607842,beta2
"('O2', 'Pz')",1.249272824331135e-05,0.46355330395401156,0.46355330395401156,0.3957199174621316,0.5830682391915367,delta
"('F8', 'T4')",2.7906200010615315e-06,-0.46231867139956284,0.46231867139956284,-0.5734943729288168,-0.3530698132089144,beta2
"('F4', 'T4')",8.055765844848508e-06,-0.4620595771143782,0.4620595771143782,-0.5788521959513402,-0.38078122311469553,beta1
"('T5', 'O1')",1.2126665195064237e-05,-0.4614886661872789,0.4614886661872789,-0.563302836796836,-0.39149387232296257,beta2
"('T4', 'P4')",7.395878450210312e-06,-0.4564375788778284,0.4564375788778284,-0.5744457255140122,-0.33755441763813615,beta2
"('F7', 'Fz')",5.966395658606411e-05,-0.4555838687004889,0.4555838687004889,-0.5704028852455144,-0.3897299043327875,beta1
"('T4', 'Cz')",2.80772319230552e-05,-0.4551437334318023,0.4551437334318023,-0.5984094181039304,-0.3162387299972337,alpha2
"('Fp1', 'Cz')",1.393506971021783e-05,-0.454417385379798,0.454417385379798,-0.5666950058335655,-0.37662942272504285,alpha1
"('F4', 'Cz')",0.0013264936687831606,-0.4516825210993927,0.4516825210993927,-0.5531848761456932,-0.37908492419069006,alpha1
"('Fp2', 'F8')",1.715376628274388e-05,-0.45134135837287326,0.45134135837287326,-0.5798310324084416,-0.3385251111301091,beta2
"('T3', 'T6')",3.939248486236305e-06,-0.44888719623535717,0.44888719623535717,-0.5863390233083116,-0.320940570350798,alpha2
"('F7', 'F4')",9.546779392376228e-05,-0.44887300887102244,0.44887300887102244,-0.5794315965836967,-0.33595097126476214,alpha1
"('Fp2', 'T5')",4.534604384806775e-05,-0.44878637706151603,0.44878637706151603,-0.6087698324731012,-0.3439524400284276,alpha2
"('Fp2', 'Cz')",1.639428193550131e-05,-0.448082157255854,0.448082157255854,-0.5739728377182888,-0.3491669987540753,alpha2
"('F3', 'T3')",0.00021844688688267325,-0.44561179814131374,0.44561179814131374,-0.5955306318204951,-0.2760338714308887,beta2
"('F7', 'Cz')",1.750329707682662e-05,-0.4442999807454117,0.4442999807454117,-0.5528737353135168,-0.33938918127396106,alpha1
