,p_vals_full,mean_eff_size,abs_eff_size,p_vals_sz_20,eff_size_sz_20,freq_repr_sz_20,p_vals_sz_25,eff_size_sz_25,freq_repr_sz_25,p_vals_sz_30,eff_size_sz_30,freq_repr_sz_30,p_vals_sz_40,eff_size_sz_40,freq_repr_sz_40,p_vals_sz_50,eff_size_sz_50,freq_repr_sz_50,p_vals_sz_70,eff_size_sz_70,freq_repr_sz_70,band
"('F3', 'T3')",2.2102274440683634e-08,-0.5433997754651371,0.5433997754651371,0.936471098855191,-0.6352061460931874,0.012,0.9052004525824959,-0.5924014663630865,0.02,0.8262559258896707,-0.6029610543665048,0.07,0.7140842431141289,-0.5716313914035948,0.112,0.5177655627568509,-0.5736378282343477,0.232,0.178227364331933,-0.5609914822211789,0.6,alpha2
"('Fp2', 'F4')",4.809751930458875e-09,-0.5418321556121348,0.5418321556121348,0.9456730667057949,-0.6846680026735966,0.02,0.8925738552149106,-0.6456769086258644,0.028,0.7852519817610911,-0.6478138182249514,0.064,0.648387667934265,-0.6087184463791759,0.12,0.45323021245644113,-0.5958453254155068,0.248,0.1220330688197403,-0.5864417131401564,0.684,alpha1
"('Fp2', 'C3')",9.828251512774421e-09,-0.5414632928796597,0.5414632928796597,0.9670469469721545,-0.606138507419541,0.006,0.9247544032877323,-0.5873367800156227,0.014,0.890044099867861,-0.5837445700511107,0.02,0.6934502043574633,-0.5753633295380692,0.072,0.488996050813933,-0.5678445075032553,0.24,0.15142526142889906,-0.558109053392501,0.61,beta1
"('F7', 'F3')",4.449624710906805e-09,-0.5392812927288497,0.5392812927288497,0.9586139901136943,-0.6261669910135329,0.002,0.915927881894061,-0.6098983983742637,0.008,0.8381815138545273,-0.5986763161954769,0.036,0.6290630270624967,-0.5996858884272726,0.132,0.43806909322056825,-0.5864327376437242,0.256,0.13362059408991958,-0.5720972005644999,0.646,beta2
"('F7', 'Pz')",3.920381339821783e-08,-0.5386990412330575,0.5386990412330575,0.929910986431782,-0.6285660050638294,0.014,0.9108201073213854,-0.5747035109648843,0.03,0.8278493479171336,-0.5853779534362814,0.078,0.6825398264803976,-0.5678876947935044,0.134,0.5594545127256341,-0.5593217510761137,0.22,0.22465050764877248,-0.5582104983976529,0.562,alpha2
"('F3', 'O2')",2.3570422733839045e-08,-0.5375181513806662,0.5375181513806662,0.9456802355641999,-0.6096549425023177,0.008,0.9084265689738269,-0.5942319139326211,0.02,0.8325411903101388,-0.5959712113361844,0.052,0.6936688673008654,-0.563777128449441,0.114,0.5325515846661361,-0.5551241272849995,0.196,0.18839392137895716,-0.563629983775456,0.586,alpha2
"('Fp1', 'F8')",8.424284701401948e-09,-0.5362172393885338,0.5362172393885338,0.9290788373678642,-0.6538740633126093,0.018,0.8604986717691147,-0.6406799401608984,0.046,0.8116759608538568,-0.6085581466813577,0.064,0.6207169170784206,-0.6125971577757474,0.2,0.4792601069370812,-0.5879910369447297,0.278,0.18733094702652842,-0.5849196718546757,0.61,alpha2
"('Fp2', 'O1')",1.3987074622921617e-07,-0.5359391919492267,0.5359391919492267,0.966027824303627,-0.5893148284010166,0.006,0.9052752655475211,-0.5769644557747327,0.018,0.8498605349937571,-0.5802798020280661,0.038,0.7265380267155859,-0.5484893367930292,0.096,0.5541684772134652,-0.5549736270916918,0.232,0.25184469075659494,-0.5436210901969918,0.506,alpha2
"('F8', 'O2')",6.177107562242375e-08,-0.535473501379655,0.535473501379655,0.9336281578768861,-0.6144871072245998,0.01,0.8995743379400697,-0.5960465292403936,0.022,0.8343307643344641,-0.5870111916585588,0.058,0.6860152543150023,-0.5723028540728686,0.102,0.5352579178303265,-0.5550465717346159,0.208,0.23004655037261182,-0.546601625101709,0.522,alpha2
"('F7', 'F8')",1.9168259169543246e-08,-0.5339232790440256,0.5339232790440256,0.9315169944628243,-0.6126807451852766,0.018,0.905624878376083,-0.5933395166427498,0.028,0.8497399502894722,-0.5866739008465524,0.054,0.7021721875638733,-0.5795807956356898,0.128,0.5157348434165971,-0.5650741759895527,0.242,0.18960570026193763,-0.5626110783716349,0.578,alpha2
