,p_vals_full,mean_eff_size,abs_eff_size,p_vals_sz_20,eff_size_sz_20,freq_repr_sz_20,p_vals_sz_25,eff_size_sz_25,freq_repr_sz_25,p_vals_sz_30,eff_size_sz_30,freq_repr_sz_30,p_vals_sz_40,eff_size_sz_40,freq_repr_sz_40,p_vals_sz_50,eff_size_sz_50,freq_repr_sz_50,p_vals_sz_70,eff_size_sz_70,freq_repr_sz_70,band
"('Fp2', 'F4')",0.0,-0.8515623261300587,0.8515623261300587,0.19040219999999994,-1.047223668133917,0.506,0.10807760000000016,-1.0034561161667843,0.684,0.046782399999999905,-0.9756838178195584,0.818,0.009624200000000015,-0.9388148001770412,0.962,0.0007625999999999993,-0.916877144775024,1.0,1.4400000000000003e-05,-0.900661241142748,1.0,alpha2
"('Fp2', 'Fz')",0.0,-0.8424193805923871,0.8424193805923871,0.16136760000000014,-1.05220302030328,0.532,0.08738500000000002,-1.0068277050111534,0.712,0.0340986,-1.0010876428090258,0.87,0.0064762000000000075,-0.9552483689361055,0.972,0.0003262000000000001,-0.9361345205297161,1.0,2.8000000000000007e-06,-0.9147912281410139,1.0,alpha2
"('C3', 'Cz')",0.0,-0.8205962353390017,0.8205962353390017,0.3067036000000001,-0.8733507737997884,0.266,0.19217600000000012,-0.8303529759121372,0.432,0.09443979999999992,-0.8425157991753587,0.674,0.013752200000000027,-0.8435316044503918,0.932,0.0028355999999999963,-0.8089648896888044,0.99,6.059999999999998e-05,-0.797381652391228,1.0,alpha2
"('Fp1', 'F3')",0.0,-0.7906622117599312,0.7906622117599312,0.24163159999999995,-0.89528603522584,0.26,0.11435380000000012,-0.878231721070875,0.542,0.04756079999999992,-0.8556204788951042,0.778,0.006627199999999996,-0.8396899603215969,0.976,0.00046859999999999936,-0.826837030250854,1.0,5.599999999999997e-06,-0.8124497950071922,1.0,beta1
"('F3', 'F8')",0.0,-0.7728673031043651,0.7728673031043651,0.35791980000000023,-0.8370940682134441,0.266,0.22638919999999993,-0.7972012820045253,0.356,0.1554168000000001,-0.7892452958404395,0.556,0.04842379999999997,-0.7761772979981101,0.792,0.012471000000000005,-0.7467337345227273,0.95,0.00027040000000000023,-0.7456925317871957,1.0,alpha2
"('Fp2', 'F3')",0.0,-0.7634961032562069,0.7634961032562069,0.23291759999999986,-0.9614312804326535,0.338,0.12783340000000004,-0.9087235276475691,0.532,0.05890879999999997,-0.8916373319255604,0.736,0.011780000000000002,-0.8674269634168519,0.938,0.0023537999999999966,-0.8366522588629391,0.992,2.3399999999999996e-05,-0.8179917136738953,1.0,alpha2
"('F7', 'O2')",0.0,-0.7598249597074267,0.7598249597074267,0.3057086,-0.884253759910078,0.322,0.17714820000000003,-0.8689777626064624,0.496,0.10454979999999997,-0.8379588180458528,0.662,0.030787999999999982,-0.8032462854624273,0.878,0.005048799999999999,-0.8101667546989295,0.988,0.0002456000000000002,-0.7906195175857107,1.0,alpha2
"('Fp1', 'O2')",0.0,-0.7555151830166913,0.7555151830166913,0.338373,-0.8691219973701145,0.298,0.22210159999999987,-0.8343580037305807,0.454,0.15244420000000009,-0.8084799963873524,0.59,0.05853999999999999,-0.767451857025455,0.798,0.011656800000000021,-0.7724044056615962,0.944,0.0006265999999999993,-0.7525142319815425,0.996,alpha2
"('Fz', 'F8')",0.0,-0.7439980907356676,0.7439980907356676,0.35196340000000004,-0.8935838797450397,0.308,0.22488660000000005,-0.8328469423829191,0.384,0.15678020000000006,-0.8145534845095616,0.552,0.05333819999999993,-0.7970380158261825,0.794,0.014378599999999997,-0.7720403878970968,0.932,0.0002782,-0.758187733984975,1.0,alpha2
"('Fp1', 'Fz')",0.0,-0.73527438888712,0.73527438888712,0.3671740000000001,-0.8333932194717337,0.198,0.21874580000000016,-0.7984227977505813,0.374,0.1313146,-0.7832005513461463,0.582,0.029192199999999974,-0.7759946832818718,0.868,0.0042551999999999954,-0.766274197499367,0.988,9.880000000000004e-05,-0.7522581015001634,1.0,beta1
