,index,dice,fdr,power,count
47,sign_bonferroni,0.16711590296495957,0.0,0.09117647058823529,31
48,sign_lsu,0.5764705882352941,0.13529411764705881,0.4323529411764706,170
49,sign_uncorr_0.01,0.6188679245283019,0.1368421052631579,0.4823529411764706,190
50,sign_uncorr_0.05,0.6959152798789713,0.2834890965732087,0.6764705882352942,321
51,sign_eff_0.05,0.6905132192846034,0.26732673267326734,0.6529411764705882,303
52,sign_eff_0.1,0.6711635750421585,0.2134387351778656,0.5852941176470589,253
53,sign_eff_0.15,0.64376130198915,0.1643192488262911,0.5235294117647059,213
0,sign_holm_bonferroni,0.0997229916897507,0.0,0.052478134110787174,18
1,sign_sidak,0.0997229916897507,0.0,0.052478134110787174,18
2,sign_bonferroni,0.0997229916897507,0.0,0.052478134110787174,18
3,sign_lsu,0.3918918918918919,0.13861386138613863,0.2536443148688047,101
4,sign_uncorr_0.01,0.4834710743801653,0.1702127659574468,0.34110787172011664,141
5,sign_uncorr_0.05,0.5758998435054773,0.3783783783783784,0.5364431486880467,296
6,sign_eff_0.05,0.5632,0.375886524822695,0.5131195335276968,282
7,sign_eff_0.1,0.5298245614035088,0.33480176211453744,0.4402332361516035,227
8,sign_eff_0.15,0.4951644100580271,0.26436781609195403,0.37317784256559766,174
9,sign_holm_bonferroni,0.15053763440860216,0.034482758620689655,0.08163265306122448,29
10,sign_sidak,0.15053763440860216,0.034482758620689655,0.08163265306122448,29
11,sign_bonferroni,0.15053763440860216,0.034482758620689655,0.08163265306122448,29
12,sign_lsu,0.568,0.09554140127388536,0.4139941690962099,157
13,sign_uncorr_0.01,0.5988483685220729,0.12359550561797752,0.45481049562682213,178
14,sign_uncorr_0.05,0.6906906906906907,0.28792569659442724,0.6705539358600583,323
15,sign_eff_0.05,0.6800618238021638,0.27631578947368424,0.641399416909621,304
16,sign_eff_0.1,0.6485568760611206,0.22357723577235772,0.5568513119533528,246
17,sign_eff_0.15,0.6190476190476191,0.16748768472906403,0.49271137026239065,203
18,sign_holm_bonferroni,0.0676056338028169,0.0,0.03498542274052478,12
19,sign_sidak,0.0676056338028169,0.0,0.03498542274052478,12
20,sign_bonferroni,0.0676056338028169,0.0,0.03498542274052478,12
21,sign_lsu,0.5657370517928287,0.1069182389937107,0.4139941690962099,159
22,sign_uncorr_0.01,0.5860113421550095,0.16666666666666666,0.4518950437317784,186
23,sign_uncorr_0.05,0.7148817802503477,0.31648936170212766,0.749271137026239,376
24,sign_eff_0.05,0.7087517934002869,0.3022598870056497,0.7201166180758017,354
25,sign_eff_0.1,0.6791277258566978,0.2709030100334448,0.6355685131195336,299
26,sign_eff_0.15,0.6254416961130742,0.2062780269058296,0.5160349854227405,223
27,sign_holm_bonferroni,0.056657223796033995,0.0,0.029154518950437316,10
28,sign_sidak,0.056657223796033995,0.0,0.029154518950437316,10
29,sign_bonferroni,0.056657223796033995,0.0,0.029154518950437316,10
30,sign_lsu,0.3157894736842105,0.26595744680851063,0.20116618075801748,94
31,sign_uncorr_0.01,0.4041237113402062,0.30985915492957744,0.2857142857142857,142
32,sign_uncorr_0.05,0.6259541984732825,0.34294871794871795,0.597667638483965,312
33,sign_eff_0.05,0.5996810207336523,0.3380281690140845,0.5481049562682215,284
34,sign_eff_0.1,0.5143884892086331,0.3286384976525822,0.41690962099125367,213
35,sign_eff_0.15,0.4624505928853755,0.2822085889570552,0.34110787172011664,163
36,sign_holm_bonferroni,0.20887728459530025,0.0,0.11661807580174927,40
37,sign_sidak,0.20887728459530025,0.0,0.11661807580174927,40
38,sign_bonferroni,0.20887728459530025,0.0,0.11661807580174927,40
39,sign_lsu,0.6643598615916955,0.1829787234042553,0.5597667638483965,235
