,index,dice,fdr,power,count,size
6,sign_eff_0.05,0.8063337393422655,0.31185031185031187,0.9735294117647059,481,90
7,sign_eff_0.1,0.8559556786703602,0.19109947643979058,0.9088235294117647,382,90
8,sign_eff_0.15,0.8522550544323484,0.09570957095709572,0.8058823529411765,303,90
9,sign_holm_bonferroni,0.5109170305676856,0.00847457627118644,0.34411764705882353,118,90
10,sign_sidak,0.5076586433260394,0.008547008547008548,0.3411764705882353,117,90
11,sign_bonferroni,0.5076586433260394,0.008547008547008548,0.3411764705882353,117,90
12,sign_lsu,0.8272108843537415,0.23037974683544304,0.8941176470588236,395,90
13,sign_uncorr_0.01,0.8208092485549133,0.19318181818181818,0.8352941176470589,352,90
14,sign_uncorr_0.05,0.7851140456182473,0.3367139959432049,0.961764705882353,493,90
15,sign_eff_0.05,0.8172043010752689,0.24752475247524752,0.8941176470588236,404,90
16,sign_eff_0.1,0.8123076923076923,0.14838709677419354,0.7764705882352941,310,90
17,sign_eff_0.15,0.7311072056239016,0.09170305676855896,0.611764705882353,229,90
0,sign_holm_bonferroni,0.616,0.0064516129032258064,0.4463768115942029,155,90
1,sign_sidak,0.6104417670682731,0.006535947712418301,0.4405797101449275,153,90
2,sign_bonferroni,0.607645875251509,0.006578947368421052,0.43768115942028984,152,90
3,sign_lsu,0.8305304010349288,0.25,0.9304347826086956,428,90
4,sign_uncorr_0.01,0.8508891928864569,0.19430051813471502,0.9014492753623189,386,90
5,sign_uncorr_0.05,0.7729357798165137,0.3605313092979127,0.9768115942028985,527,90
6,sign_eff_0.05,0.8273195876288659,0.2552204176334107,0.9304347826086956,431,90
7,sign_eff_0.1,0.8706896551724138,0.13675213675213677,0.8782608695652174,351,90
8,sign_eff_0.15,0.8208469055374593,0.06319702602230483,0.7304347826086957,269,90
9,sign_holm_bonferroni,0.535031847133758,0.0,0.3652173913043478,126,90
10,sign_sidak,0.535031847133758,0.0,0.3652173913043478,126,90
11,sign_bonferroni,0.535031847133758,0.0,0.3652173913043478,126,90
12,sign_lsu,0.8295165394402035,0.26077097505668934,0.9449275362318841,441,90
13,sign_uncorr_0.01,0.8571428571428571,0.185378590078329,0.9043478260869565,383,90
14,sign_uncorr_0.05,0.7589285714285714,0.38294010889292196,0.9855072463768116,551,90
15,sign_eff_0.05,0.8217446270543616,0.2713004484304933,0.9420289855072463,446,90
16,sign_eff_0.1,0.8537666174298375,0.12951807228915663,0.8376811594202899,332,90
17,sign_eff_0.15,0.7966666666666666,0.06274509803921569,0.6927536231884058,255,90
0,sign_holm_bonferroni,0.6242544731610338,0.006329113924050633,0.45507246376811594,158,90
1,sign_sidak,0.6187624750499002,0.00641025641025641,0.4492753623188406,156,90
2,sign_bonferroni,0.616,0.0064516129032258064,0.4463768115942029,155,90
3,sign_lsu,0.805352798053528,0.3060796645702306,0.9594202898550724,477,90
4,sign_uncorr_0.01,0.8466579292267365,0.22727272727272727,0.936231884057971,418,90
5,sign_uncorr_0.05,0.751101321585903,0.39431616341030196,0.9884057971014493,563,90
6,sign_eff_0.05,0.8142681426814268,0.29273504273504275,0.9594202898550724,468,90
7,sign_eff_0.1,0.855944055944056,0.17297297297297298,0.8869565217391304,370,90
8,sign_eff_0.15,0.8242612752721618,0.11073825503355705,0.7681159420289855,298,90
9,sign_holm_bonferroni,0.5918367346938775,0.0,0.42028985507246375,145,90
10,sign_sidak,0.5831622176591376,0.0,0.4115942028985507,142,90
11,sign_bonferroni,0.5831622176591376,0.0,0.4115942028985507,142,90
12,sign_lsu,0.8077922077922078,0.26823529411764707,0.9014492753623189,425,90
13,sign_uncorr_0.01,0.826629680998613,0.2074468085106383,0.863768115942029,376,90
14,sign_uncorr_0.05,0.7643020594965675,0.3686200378071834,0.9681159420289855,529,90
15,sign_eff_0.05,0.8153846153846154,0.2689655172413793,0.9217391304347826,435,90
16,sign_eff_0.1,0.8286140089418778,0.147239263803681,0.8057971014492754,326,90
17,sign_eff_0.15,0.7877758913412564,0.04918032786885246,0.672463768115942,244,90
0,sign_holm_bonferroni,0.6640926640926641,0.022727272727272728,0.5029239766081871,176,90
1,sign_sidak,0.6589147286821705,0.022988505747126436,0.49707602339181284,174,90
2,sign_bonferroni,0.6563106796116505,0.023121387283236993,0.49415204678362573,173,90
3,sign_lsu,0.7819905213270142,0.3426294820717131,0.9649122807017544,502,90
4,sign_uncorr_0.01,0.8158567774936062,0.275,0.9327485380116959,440,90
5,sign_uncorr_0.05,0.728249194414608,0.4244482173174873,0.9912280701754386,589,90
6,sign_eff_0.05,0.7909199522102748,0.33131313131313134,0.9678362573099415,495,90
7,sign_eff_0.1,0.8284182305630027,0.23514851485148514,0.9035087719298246,404,90
8,sign_eff_0.15,0.8270676691729323,0.14860681114551083,0.804093567251462,323,90
